top - 09:54:55 up 44 days, 27 min,  1 user,  load average: 1.24, 1.02, 0.88
Tasks: 382 total,   1 running, 304 sleeping,   0 stopped,   0 zombie
%Cpu(s): 13.4 us,  5.7 sy,  0.1 ni, 79.6 id,  0.0 wa,  0.0 hi,  1.2 si,  0.0 st
KiB Mem : 16251892 total,   556224 free,  6461480 used,  9234188 buff/cache
KiB Swap:  2097148 total,  1555884 free,   541264 used.  8962312 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
   62 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [oom_reaper]
   63 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [writeback]
   64 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [kcompactd0]
   65 root      25   5       0      0      0 S   0.0  0.0   0:00.00 [ksmd]
   66 root      39  19       0      0      0 S   0.0  0.0   0:08.71 [khugepaged]
  113 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [kintegrityd]
  114 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [kblockd]
  115 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [blkcg_punt_bio]
  117 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [tpm_dev_wq]
  119 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [ata_sff]
  120 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [md]
  121 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [edac-poller]
  122 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [devfreq_wq]
  124 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 [watchdogd]
  132 root      20   0       0      0      0 S   0.0  0.0   0:08.61 [kswapd0]
  133 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [ecryptfs-kthrea]
  135 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [kthrotld]
  136 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 [irq/122-aerdrv]
  137 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 [irq/124-aerdrv]
  138 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [acpi_thermal_pm]
  140 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [vfio-irqfd-clea]
  141 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [ipv6_addrconf]
  150 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [kstrp]
  153 root       0 -20       0      0      0 I   0.0  0.0   0:11.81 [kworker/u17:0-h]
  168 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [charger_manager]
  227 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [scsi_eh_0]
  228 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [scsi_tmf_0]
  229 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [scsi_eh_1]
  230 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [scsi_tmf_1]
  231 root      20   0       0      0      0 S   0.0  0.0   0:00.02 [scsi_eh_2]
  232 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [scsi_tmf_2]
  235 root       0 -20       0      0      0 I   0.0  0.0   0:16.41 [kworker/0:1H-ev]
  256 root       0 -20       0      0      0 I   0.0  0.0   0:23.56 [kworker/6:1H-ev]
  259 root       0 -20       0      0      0 I   0.0  0.0   0:32.08 [kworker/5:1H-ev]
